# Persson 정품 실접촉 면적 A/A0 (선형, 비선형 f,g 보정 미적용)
# Column 1: log10(v) [m/s]
# Column 2: A/A0 (접촉 면적 비율)
-2.25E-01	3.34E-03
-1.98E-01	3.30E-03
-1.70E-01	3.25E-03
-1.43E-01	3.20E-03
-1.16E-01	3.16E-03
-8.82E-02	3.11E-03
-6.09E-02	3.07E-03
-3.35E-02	3.02E-03
-6.19E-03	2.97E-03
2.11E-02	2.92E-03
4.85E-02	2.87E-03
7.58E-02	2.82E-03
1.03E-01	2.77E-03
1.31E-01	2.72E-03
1.58E-01	2.67E-03
1.85E-01	2.63E-03
2.12E-01	2.58E-03
2.40E-01	2.54E-03
2.67E-01	2.50E-03
2.94E-01	2.46E-03
3.22E-01	2.41E-03
3.49E-01	2.37E-03
3.76E-01	2.33E-03
4.04E-01	2.29E-03
4.31E-01	2.24E-03
4.58E-01	2.20E-03
4.86E-01	2.16E-03
5.13E-01	2.12E-03
5.40E-01	2.08E-03
5.68E-01	2.04E-03
5.95E-01	2.00E-03
6.22E-01	1.96E-03
6.50E-01	1.92E-03
6.77E-01	1.88E-03
7.04E-01	1.84E-03
7.32E-01	1.80E-03
7.59E-01	1.76E-03
7.86E-01	1.73E-03
8.14E-01	1.69E-03
8.41E-01	1.65E-03
8.68E-01	1.61E-03
8.96E-01	1.57E-03
9.23E-01	1.54E-03
9.50E-01	1.50E-03
9.78E-01	1.46E-03
1.01E+00	1.43E-03
1.03E+00	1.40E-03
1.06E+00	1.36E-03
1.09E+00	1.33E-03
1.11E+00	1.30E-03
1.14E+00	1.26E-03
1.17E+00	1.23E-03
1.20E+00	1.20E-03
1.22E+00	1.16E-03
1.25E+00	1.13E-03
1.28E+00	1.10E-03
1.31E+00	1.07E-03
1.33E+00	1.04E-03
1.36E+00	1.01E-03
1.39E+00	9.87E-04
1.42E+00	9.61E-04
1.44E+00	9.36E-04
1.47E+00	9.11E-04
1.50E+00	8.88E-04
1.52E+00	8.64E-04
1.55E+00	8.42E-04
1.58E+00	8.20E-04
1.61E+00	7.98E-04
1.63E+00	7.77E-04
1.66E+00	7.56E-04
1.69E+00	7.35E-04
1.72E+00	7.15E-04
1.74E+00	6.95E-04
1.77E+00	6.75E-04
1.80E+00	6.56E-04
1.83E+00	6.37E-04
1.85E+00	6.19E-04
1.88E+00	6.01E-04
1.91E+00	5.84E-04
1.93E+00	5.67E-04
1.96E+00	5.51E-04
1.99E+00	5.35E-04
2.02E+00	5.19E-04
2.04E+00	5.04E-04
2.07E+00	4.89E-04
2.10E+00	4.74E-04
2.13E+00	4.59E-04
2.15E+00	4.45E-04
2.18E+00	4.31E-04
2.21E+00	4.18E-04
2.24E+00	4.04E-04
2.26E+00	3.92E-04
2.29E+00	3.79E-04
2.32E+00	3.67E-04
2.34E+00	3.55E-04
2.37E+00	3.44E-04
2.40E+00	3.33E-04
2.43E+00	3.22E-04
2.45E+00	3.12E-04
2.48E+00	3.01E-04
2.51E+00	2.92E-04
2.54E+00	2.82E-04
2.56E+00	2.73E-04
2.59E+00	2.64E-04
2.62E+00	2.55E-04
2.65E+00	2.47E-04
2.67E+00	2.38E-04
2.70E+00	2.31E-04
2.73E+00	2.23E-04
2.75E+00	2.16E-04
2.78E+00	2.09E-04
2.81E+00	2.02E-04
2.84E+00	1.96E-04
2.86E+00	1.90E-04
2.89E+00	1.84E-04
2.92E+00	1.78E-04
2.95E+00	1.72E-04
2.97E+00	1.67E-04
3.00E+00	1.62E-04
